country_id,name
147,110
80,1325
155,142
129,146
157,151
132,27
152,363
159,367
149,433
120,44
92,464
158,490
115,96
187,Afghanistan
140,"Aland Islands"
165,Albania
148,Algeria
184,"American Samoa"
138,Andorra
131,Angola
107,Anguilla
11,Antarctica
68,Argentina
32,Armenia
75,Aruba
56,Australia
54,Austria
82,Azerbaijan
179,Bahrain
62,Bangladesh
1,Belarus
101,Belgium
189,Benin
166,Bhutan
112,Bolivia
97,"Bosnia and Herzegovina"
104,Botswana
25,Brazil
35,Bulgaria
154,Burundi
118,"Cabo Verde"
83,Cameroon
5,Canada
191,"Central African Republic"
108,Chad
84,Chile
4,China
134,"Christmas Island"
94,"Cocos Islands"
71,Colombia
98,"Cook Islands"
151,"Costa Rica"
21,Croatia
57,Cuba
51,Cyprus
52,Czechia
167,"Democratic Republic of the Congo"
58,Denmark
77,"Dominican Republic"
42,Egypt
160,"El Salvador"
185,"Equatorial Guinea"
178,Eritrea
86,Estonia
116,Ethiopia
119,"Falkland Islands"
114,"Faroe Islands"
190,Fiji
41,Finland
45,France
197,"French Guiana"
30,Georgia
13,Germany
176,Ghana
128,Gibraltar
122,Greece
186,Greenland
194,Grenada
143,Guam
156,Guatemala
136,Guinea-Bissau
123,Haiti
168,Honduras
12,"Hong Kong"
10,Hungary
113,Iceland
18,India
20,Indonesia
17,Iran
181,Iraq
102,Ireland
146,"Isle of Man"
31,Israel
36,Italy
175,Jamaica
9,Japan
47,Jordan
27,Kazakhstan
144,Kenya
33,Kiribati
174,Kosovo
61,Kuwait
29,Kyrgyzstan
150,Laos
63,Latvia
91,Lebanon
127,Libya
38,Lithuania
124,Luxembourg
85,Macao
126,Madagascar
72,Malaysia
78,Mayotte
37,Mexico
192,Micronesia
69,Moldova
195,Monaco
44,Mongolia
109,Montenegro
172,Montserrat
59,Morocco
76,Myanmar
66,Namibia
105,Nepal
16,Netherlands
70,"New Zealand"
153,Nicaragua
111,Niger
99,Nigeria
164,Niue
19,"North Korea"
79,"North Macedonia"
46,Norway
161,Oman
106,Pakistan
65,"Palestinian Territory"
170,Panama
117,"Papua New Guinea"
193,Paraguay
87,Peru
96,Philippines
2,Poland
34,Portugal
196,"Puerto Rico"
133,Qatar
137,Reunion
26,Romania
6,Russia
145,Rwanda
162,"Saint Kitts and Nevis"
173,"Saint Lucia"
171,"Saint Vincent and the Grenadines"
3,Samoa
182,"San Marino"
81,"Saudi Arabia"
50,Serbia
163,"Serbia and Montenegro"
55,Seychelles
110,"Sierra Leone"
14,Singapore
88,Slovakia
89,Slovenia
169,"Solomon Islands"
183,Somalia
100,"South Africa"
142,"South Georgia and the South Sandwich Islands"
8,"South Korea"
48,Spain
90,"Sri Lanka"
130,Sudan
22,Sweden
49,Switzerland
67,Syria
15,Taiwan
39,Tajikistan
141,Tanzania
60,Thailand
177,Tokelau
188,"Trinidad and Tobago"
103,Tunisia
73,TÃ¼rkiye
93,Turkmenistan
180,Tuvalu
125,"U.S. Virgin Islands"
95,Uganda
23,Ukraine
121,"United Arab Emirates"
24,"United Kingdom"
7,"United States"
40,"United States Minor Outlying Islands"
135,Uruguay
53,Uzbekistan
64,Vatican
74,Venezuela
28,Vietnam
43,"Wallis and Futuna"
139,Zimbabwe
